,Name,Description,Address,Rating,Feature,City,Category,Image,lat,lng,Google Maps URL,Combined,Tokens
0,Banyan Tree Alula,hidden gem ula stunning natural beauty breathtaking views luxurious experience exceptional service delicious thai cuisine instagramworthy pool,"Wadi Ashar, AlUla 43563 Saudi Arabia",5.0,property amenity free parking free high speed internet wifi pool fitness center gym  workout room free breakfast hiking horseback riding airport transportation show room feature allergyfree room blackout curtain air conditioning desk dining area coffee  tea maker cable  satellite tv walkin shower show room type mountain view pool view nonsmoking room suite good know hotel class language spoken english french russian spanish 3 hotel link visit hotel website special price15 room rate hotel deal,AlUla,hotel,,26.64549,37.9053,https://www.google.com/maps/search/?q=Banyan+Tree+Alula%2C+Wadi+Ashar%2C+AlUla+43563+Saudi+Arabia%2C+AlUla,hotel hidden gem ula stunning natural beauty breathtaking views luxurious experience exceptional service delicious thai cuisine instagramworthy pool property amenity free parking free high speed internet wifi pool fitness center gym  workout room free breakfast hiking horseback riding airport transportation show room feature allergyfree room blackout curtain air conditioning desk dining area coffee  tea maker cable  satellite tv walkin shower show room type mountain view pool view nonsmoking room suite good know hotel class language spoken english french russian spanish 3 hotel link visit hotel website special price15 room rate hotel deal Banyan Tree Alula,"['hotel', 'hidden', 'gem', 'ula', 'stunning', 'natural', 'beauty', 'breathtaking', 'views', 'luxurious', 'experience', 'exceptional', 'service', 'delicious', 'thai', 'cuisine', 'instagramworthy', 'pool', 'property', 'amenity', 'free', 'parking', 'free', 'high', 'speed', 'internet', 'wifi', 'pool', 'fitness', 'center', 'gym', 'workout', 'room', 'free', 'breakfast', 'hiking', 'horseback', 'riding', 'airport', 'transportation', 'show', 'room', 'feature', 'allergyfree', 'room', 'blackout', 'curtain', 'air', 'conditioning', 'desk', 'dining', 'area', 'coffee', 'tea', 'maker', 'cable', 'satellite', 'tv', 'walkin', 'shower', 'show', 'room', 'type', 'mountain', 'view', 'pool', 'view', 'nonsmoking', 'room', 'suite', 'good', 'know', 'hotel', 'class', 'language', 'spoken', 'english', 'french', 'russian', 'spanish', '3', 'hotel', 'link', 'visit', 'hotel', 'website', 'special', 'price15', 'room', 'rate', 'hotel', 'deal', 'Banyan', 'Tree', 'Alula']"
1,Our Habitas AlUla,stunning natural view unique desert setting beautiful rock formations friendly staff excellent onsite restaurant spacious rooms electric bike exploration,"Ashar Valley, AlUla 43511 Saudi Arabia",4.0,property amenity free parking free high speed internet wifi pool fitness center gym  workout room free breakfast bicycle available hiking kid stay free show room feature blackout curtain soundproof room air conditioning desk housekeeping coffee  tea maker extra long bed bath  shower show room type mountain view landmark view nonsmoking room suite good know hotel class hotel style luxury language spoken english french spanish arabic 1,AlUla,hotel,,26.6031,37.92941,https://www.google.com/maps/search/?q=Our+Habitas+AlUla%2C+Ashar+Valley%2C+AlUla+43511+Saudi+Arabia%2C+AlUla,hotel stunning natural view unique desert setting beautiful rock formations friendly staff excellent onsite restaurant spacious rooms electric bike exploration property amenity free parking free high speed internet wifi pool fitness center gym  workout room free breakfast bicycle available hiking kid stay free show room feature blackout curtain soundproof room air conditioning desk housekeeping coffee  tea maker extra long bed bath  shower show room type mountain view landmark view nonsmoking room suite good know hotel class hotel style luxury language spoken english french spanish arabic 1 Our Habitas AlUla,"['hotel', 'stunning', 'natural', 'view', 'unique', 'desert', 'setting', 'beautiful', 'rock', 'formations', 'friendly', 'staff', 'excellent', 'onsite', 'restaurant', 'spacious', 'rooms', 'electric', 'bike', 'exploration', 'property', 'amenity', 'free', 'parking', 'free', 'high', 'speed', 'internet', 'wifi', 'pool', 'fitness', 'center', 'gym', 'workout', 'room', 'free', 'breakfast', 'bicycle', 'available', 'hiking', 'kid', 'stay', 'free', 'show', 'room', 'feature', 'blackout', 'curtain', 'soundproof', 'room', 'air', 'conditioning', 'desk', 'housekeeping', 'coffee', 'tea', 'maker', 'extra', 'long', 'bed', 'bath', 'shower', 'show', 'room', 'type', 'mountain', 'view', 'landmark', 'view', 'nonsmoking', 'room', 'suite', 'good', 'know', 'hotel', 'class', 'hotel', 'style', 'luxury', 'language', 'spoken', 'english', 'french', 'spanish', 'arabic', '1', 'Our', 'Habitas', 'AlUla']"
2,Caravan By Habitas Alula,unique stunning mountain setting wellmaintained tented facility caravans friendly staff great amenity including bicycle riding concert hall cinema,"Al Atheeb Wadi Al Ashar, AlUla 43570 Saudi Arabia",5.0,property amenity free private parking nearby free high speed internet wifi yoga class bar  lounge hiking entertainment staff car hire adult show room feature air conditioning housekeeping private balcony seating area kitchenette minibar extra long bed bidet show room type mountain view good know language spoken english arabic,AlUla,hotel,,26.6031,37.92941,https://www.google.com/maps/search/?q=Caravan+By+Habitas+Alula%2C+Al+Atheeb+Wadi+Al+Ashar%2C+AlUla+43570+Saudi+Arabia%2C+AlUla,hotel unique stunning mountain setting wellmaintained tented facility caravans friendly staff great amenity including bicycle riding concert hall cinema property amenity free private parking nearby free high speed internet wifi yoga class bar  lounge hiking entertainment staff car hire adult show room feature air conditioning housekeeping private balcony seating area kitchenette minibar extra long bed bidet show room type mountain view good know language spoken english arabic Caravan By Habitas Alula,"['hotel', 'unique', 'stunning', 'mountain', 'setting', 'wellmaintained', 'tented', 'facility', 'caravans', 'friendly', 'staff', 'great', 'amenity', 'including', 'bicycle', 'riding', 'concert', 'hall', 'cinema', 'property', 'amenity', 'free', 'private', 'parking', 'nearby', 'free', 'high', 'speed', 'internet', 'wifi', 'yoga', 'class', 'bar', 'lounge', 'hiking', 'entertainment', 'staff', 'car', 'hire', 'adult', 'show', 'room', 'feature', 'air', 'conditioning', 'housekeeping', 'private', 'balcony', 'seating', 'area', 'kitchenette', 'minibar', 'extra', 'long', 'bed', 'bidet', 'show', 'room', 'type', 'mountain', 'view', 'good', 'know', 'language', 'spoken', 'english', 'arabic', 'Caravan', 'By', 'Habitas', 'Alula']"
3,Sahary Al Ula Resort,scenic resort stunning views beautiful dinner location surrounded rock welllit spacious cozy room comfortable beds,"Hail Road 10 KM From Al Ula, AlUla 43515 Saudi Arabia",3.5,property amenity free parking restaurant hiking child activity kid  family friendly pet allowed  dog  pet friendly  meeting room bbq facility nonsmoking hotel show room feature allergyfree room air conditioning housekeeping seating area sofa refrigerator bath  shower complimentary toiletry show room type bridal suite family room,AlUla,hotel,,26.65925,38.00122,https://www.google.com/maps/search/?q=Sahary+Al+Ula+Resort%2C+Hail+Road+10+KM+From+Al+Ula%2C+AlUla+43515+Saudi+Arabia%2C+AlUla,hotel scenic resort stunning views beautiful dinner location surrounded rock welllit spacious cozy room comfortable beds property amenity free parking restaurant hiking child activity kid  family friendly pet allowed  dog  pet friendly  meeting room bbq facility nonsmoking hotel show room feature allergyfree room air conditioning housekeeping seating area sofa refrigerator bath  shower complimentary toiletry show room type bridal suite family room Sahary Al Ula Resort,"['hotel', 'scenic', 'resort', 'stunning', 'views', 'beautiful', 'dinner', 'location', 'surrounded', 'rock', 'welllit', 'spacious', 'cozy', 'room', 'comfortable', 'beds', 'property', 'amenity', 'free', 'parking', 'restaurant', 'hiking', 'child', 'activity', 'kid', 'family', 'friendly', 'pet', 'allowed', 'dog', 'pet', 'friendly', 'meeting', 'room', 'bbq', 'facility', 'nonsmoking', 'hotel', 'show', 'room', 'feature', 'allergyfree', 'room', 'air', 'conditioning', 'housekeeping', 'seating', 'area', 'sofa', 'refrigerator', 'bath', 'shower', 'complimentary', 'toiletry', 'show', 'room', 'type', 'bridal', 'suite', 'family', 'room', 'Sahary', 'Al', 'Ula', 'Resort']"
4,Cloud7 Residence Alula,modern design reception tent swimming pool clean wellstocked rooms friendly staff providing helpful recommendations popular location planned upgrades,"Al Aziziyah District 7188, AlUla 43511 Saudi Arabia",4.5,property amenity free parking valet parking free high speed internet wifi wifi pool pool view outdoor pool room feature air conditioning,AlUla,hotel,,26.55044,37.94331,https://www.google.com/maps/search/?q=Cloud7+Residence+Alula%2C+Al+Aziziyah+District+7188%2C+AlUla+43511+Saudi+Arabia%2C+AlUla,hotel modern design reception tent swimming pool clean wellstocked rooms friendly staff providing helpful recommendations popular location planned upgrades property amenity free parking valet parking free high speed internet wifi wifi pool pool view outdoor pool room feature air conditioning Cloud7 Residence Alula,"['hotel', 'modern', 'design', 'reception', 'tent', 'swimming', 'pool', 'clean', 'wellstocked', 'rooms', 'friendly', 'staff', 'providing', 'helpful', 'recommendations', 'popular', 'location', 'planned', 'upgrades', 'property', 'amenity', 'free', 'parking', 'valet', 'parking', 'free', 'high', 'speed', 'internet', 'wifi', 'wifi', 'pool', 'pool', 'view', 'outdoor', 'pool', 'room', 'feature', 'air', 'conditioning', 'Cloud7', 'Residence', 'Alula']"
5,Shaden Resort,saudi arabia diverse options including madetoorder pasta bbq area feature nespresso machines vip guest relations nearby attractions pool garden area available," Hail Road, AlUla 18936 Saudi Arabia",3.5,property amenity free parking free high speed internet wifi pool coffee shop bicycle rental bicycle tour books dvds music child child activity kid  family friendly show room feature air conditioning housekeeping room service safe vip room facility bottled water complimentary toiletry,AlUla,hotel,,26.65667,37.96227,https://www.google.com/maps/search/?q=Shaden+Resort%2C++Hail+Road%2C+AlUla+18936+Saudi+Arabia%2C+AlUla,hotel saudi arabia diverse options including madetoorder pasta bbq area feature nespresso machines vip guest relations nearby attractions pool garden area available property amenity free parking free high speed internet wifi pool coffee shop bicycle rental bicycle tour books dvds music child child activity kid  family friendly show room feature air conditioning housekeeping room service safe vip room facility bottled water complimentary toiletry Shaden Resort,"['hotel', 'saudi', 'arabia', 'diverse', 'options', 'including', 'madetoorder', 'pasta', 'bbq', 'area', 'feature', 'nespresso', 'machines', 'vip', 'guest', 'relations', 'nearby', 'attractions', 'pool', 'garden', 'area', 'available', 'property', 'amenity', 'free', 'parking', 'free', 'high', 'speed', 'internet', 'wifi', 'pool', 'coffee', 'shop', 'bicycle', 'rental', 'bicycle', 'tour', 'books', 'dvds', 'music', 'child', 'child', 'activity', 'kid', 'family', 'friendly', 'show', 'room', 'feature', 'air', 'conditioning', 'housekeeping', 'room', 'service', 'safe', 'vip', 'room', 'facility', 'bottled', 'water', 'complimentary', 'toiletry', 'Shaden', 'Resort']"
6,Banyan Tree AlUla,spread across ashar valley tented villa seamlessly woven hidden desert scenery banyan tree alula plunge new reality far removed anything you’ve ever known note guests please note south reception harrat closed 31st august 1st september 2023 please note rock pool closed maintenance 26th august 2nd september 2023 apologize inconvenience," Wadi Ashar, AlUla 43563 Saudi Arabia",5.0,property amenity free parking free high speed internet wifi pool fitness center gym  workout room free breakfast hiking horseback riding airport transportation show room feature allergyfree room blackout curtain air conditioning desk dining area coffee  tea maker cable  satellite tv walkin shower show room type mountain view pool view nonsmoking room suite,AlUla,hotel,,26.64549,37.9053,https://www.google.com/maps/search/?q=Banyan+Tree+AlUla%2C++Wadi+Ashar%2C+AlUla+43563+Saudi+Arabia%2C+AlUla,hotel spread across ashar valley tented villa seamlessly woven hidden desert scenery banyan tree alula plunge new reality far removed anything you’ve ever known note guests please note south reception harrat closed 31st august 1st september 2023 please note rock pool closed maintenance 26th august 2nd september 2023 apologize inconvenience property amenity free parking free high speed internet wifi pool fitness center gym  workout room free breakfast hiking horseback riding airport transportation show room feature allergyfree room blackout curtain air conditioning desk dining area coffee  tea maker cable  satellite tv walkin shower show room type mountain view pool view nonsmoking room suite Banyan Tree AlUla,"['hotel', 'spread', 'across', 'ashar', 'valley', 'tented', 'villa', 'seamlessly', 'woven', 'hidden', 'desert', 'scenery', 'banyan', 'tree', 'alula', 'plunge', 'new', 'reality', 'far', 'removed', 'anything', 'you', '’', 've', 'ever', 'known', 'note', 'guests', 'please', 'note', 'south', 'reception', 'harrat', 'closed', '31st', 'august', '1st', 'september', '2023', 'please', 'note', 'rock', 'pool', 'closed', 'maintenance', '26th', 'august', '2nd', 'september', '2023', 'apologize', 'inconvenience', 'property', 'amenity', 'free', 'parking', 'free', 'high', 'speed', 'internet', 'wifi', 'pool', 'fitness', 'center', 'gym', 'workout', 'room', 'free', 'breakfast', 'hiking', 'horseback', 'riding', 'airport', 'transportation', 'show', 'room', 'feature', 'allergyfree', 'room', 'blackout', 'curtain', 'air', 'conditioning', 'desk', 'dining', 'area', 'coffee', 'tea', 'maker', 'cable', 'satellite', 'tv', 'walkin', 'shower', 'show', 'room', 'type', 'mountain', 'view', 'pool', 'view', 'nonsmoking', 'room', 'suite', 'Banyan', 'Tree', 'AlUla']"
7,Husaak Glamping,featuring garden husaak glamping alula madinah munnawarah province region 15 km madain saleh tombs campground provides free private parking tour desk free wifi,AlUla 43534 Saudi Arabia,4.0,free wifi,AlUla,hotel,,26.60283,37.92869,https://www.google.com/maps/search/?q=Husaak+Glamping%2C+AlUla+43534+Saudi+Arabia%2C+AlUla,hotel featuring garden husaak glamping alula madinah munnawarah province region 15 km madain saleh tombs campground provides free private parking tour desk free wifi free wifi Husaak Glamping,"['hotel', 'featuring', 'garden', 'husaak', 'glamping', 'alula', 'madinah', 'munnawarah', 'province', 'region', '15', 'km', 'madain', 'saleh', 'tombs', 'campground', 'provides', 'free', 'private', 'parking', 'tour', 'desk', 'free', 'wifi', 'free', 'wifi', 'Husaak', 'Glamping']"
8,ALwateen Hotel,set alula 30 km madain saleh tombs alwateen alwateen accommodation terrace free private parking bar 3star room service 24hour front desk free wifi,"Aleila Aleami Street, AlUla 43561 Saudi Arabia",5.0,free wifi,AlUla,hotel,,26.57334,37.94797,https://www.google.com/maps/search/?q=ALwateen+Hotel%2C+Aleila+Aleami+Street%2C+AlUla+43561+Saudi+Arabia%2C+AlUla,hotel set alula 30 km madain saleh tombs alwateen alwateen accommodation terrace free private parking bar 3star room service 24hour front desk free wifi free wifi ALwateen Hotel,"['hotel', 'set', 'alula', '30', 'km', 'madain', 'saleh', 'tombs', 'alwateen', 'alwateen', 'accommodation', 'terrace', 'free', 'private', 'parking', 'bar', '3star', 'room', 'service', '24hour', 'front', 'desk', 'free', 'wifi', 'free', 'wifi', 'ALwateen', 'Hotel']"
9,"Crowne Plaza al Khobar, an IHG Hotel",fine five star close major shopping malls entertainment area well close corporate government offices,"King Abdullah Street, Al Khobar 31952 Saudi Arabia",4.5,property amenity free parking free high speed internet wifi pool fitness center gym  workout room free breakfast kid stay free child activity kid  family friendly airport transportation show room feature blackout curtain soundproof room air conditioning desk housekeeping coffee  tea maker cable  satellite tv bidet show room type city view nonsmoking room suite family room smoking room available good know hotel class hotel style centrally located city view language spoken english arabic filipino hindi 3 hotel link visit hotel website special offerbook direct  save ihg one reward,AlKhobar,hotel,,26.28655,50.18765,https://www.google.com/maps/search/?q=Crowne+Plaza+al+Khobar%2C+an+IHG+Hotel%2C+King+Abdullah+Street%2C+Al+Khobar+31952+Saudi+Arabia%2C+AlKhobar,"hotel fine five star close major shopping malls entertainment area well close corporate government offices property amenity free parking free high speed internet wifi pool fitness center gym  workout room free breakfast kid stay free child activity kid  family friendly airport transportation show room feature blackout curtain soundproof room air conditioning desk housekeeping coffee  tea maker cable  satellite tv bidet show room type city view nonsmoking room suite family room smoking room available good know hotel class hotel style centrally located city view language spoken english arabic filipino hindi 3 hotel link visit hotel website special offerbook direct  save ihg one reward Crowne Plaza al Khobar, an IHG Hotel","['hotel', 'fine', 'five', 'star', 'close', 'major', 'shopping', 'malls', 'entertainment', 'area', 'well', 'close', 'corporate', 'government', 'offices', 'property', 'amenity', 'free', 'parking', 'free', 'high', 'speed', 'internet', 'wifi', 'pool', 'fitness', 'center', 'gym', 'workout', 'room', 'free', 'breakfast', 'kid', 'stay', 'free', 'child', 'activity', 'kid', 'family', 'friendly', 'airport', 'transportation', 'show', 'room', 'feature', 'blackout', 'curtain', 'soundproof', 'room', 'air', 'conditioning', 'desk', 'housekeeping', 'coffee', 'tea', 'maker', 'cable', 'satellite', 'tv', 'bidet', 'show', 'room', 'type', 'city', 'view', 'nonsmoking', 'room', 'suite', 'family', 'room', 'smoking', 'room', 'available', 'good', 'know', 'hotel', 'class', 'hotel', 'style', 'centrally', 'located', 'city', 'view', 'language', 'spoken', 'english', 'arabic', 'filipino', 'hindi', '3', 'hotel', 'link', 'visit', 'hotel', 'website', 'special', 'offerbook', 'direct', 'save', 'ihg', 'one', 'reward', 'Crowne', 'Plaza', 'al', 'Khobar', ',', 'an', 'IHG', 'Hotel']"
